filename	acq_time	stimRate
eeg/sub-09_ses-03_task-sepRate_run-01_eeg.edf	2021-10-05T14:36:13	2.7
eeg/sub-09_ses-03_task-sepRate_run-02_eeg.edf	2021-10-05T14:38:21	4.7
eeg/sub-09_ses-03_task-sepRate_run-03_eeg.edf	2021-10-05T14:42:01	8.7
eeg/sub-09_ses-03_task-sepRate_run-04_eeg.edf	2021-10-05T14:47:22	12.7
eeg/sub-09_ses-03_task-sepRate_run-05_eeg.edf	2021-10-05T14:54:42	16.7
eeg/sub-09_ses-03_task-sepRate_run-06_eeg.edf	2021-10-05T15:03:37	20.7
eeg/sub-09_ses-03_task-sepRate_run-07_eeg.edf	2021-10-05T15:13:52	24.7
eeg/sub-09_ses-03_task-sepRate_run-08_eeg.edf	2021-10-05T15:25:26	28.7
