filename	acq_time	stimRate
eeg/sub-17_ses-03_task-sepRate_run-01_eeg.edf	2023-06-29T13:13:52	2.7
eeg/sub-17_ses-03_task-sepRate_run-02_eeg.edf	2023-06-29T13:15:54	4.7
eeg/sub-17_ses-03_task-sepRate_run-03_eeg.edf	2023-06-29T13:19:19	8.7
eeg/sub-17_ses-03_task-sepRate_run-04_eeg.edf	2023-06-29T13:24:16	12.7
eeg/sub-17_ses-03_task-sepRate_run-05_eeg.edf	2023-06-29T13:30:21	16.7
eeg/sub-17_ses-03_task-sepRate_run-06_eeg.edf	2023-06-29T13:37:19	20.7
eeg/sub-17_ses-03_task-sepRate_run-07_eeg.edf	2023-06-29T13:45:34	24.7
eeg/sub-17_ses-03_task-sepRate_run-08_eeg.edf	2023-06-29T13:54:57	28.7
