filename	acq_time	stimRate
eeg/sub-10_ses-03_task-sepRate_run-01_eeg.edf	2021-10-07T11:44:05	2.7
eeg/sub-10_ses-03_task-sepRate_run-02_eeg.edf	2021-10-07T11:46:07	4.7
eeg/sub-10_ses-03_task-sepRate_run-03_eeg.edf	2021-10-07T11:49:32	8.7
eeg/sub-10_ses-03_task-sepRate_run-04_eeg.edf	2021-10-07T11:54:29	12.7
eeg/sub-10_ses-03_task-sepRate_run-05_eeg.edf	2021-10-07T12:00:34	16.7
eeg/sub-10_ses-03_task-sepRate_run-06_eeg.edf	2021-10-07T12:07:32	20.7
eeg/sub-10_ses-03_task-sepRate_run-07_eeg.edf	2021-10-07T12:15:47	24.7
eeg/sub-10_ses-03_task-sepRate_run-08_eeg.edf	2021-10-07T12:25:10	28.7
