filename	acq_time	stimRate
eeg/sub-15_ses-04_task-sepRate_run-01_eeg.edf	2023-06-05T13:16:36	2.7
eeg/sub-15_ses-04_task-sepRate_run-02_eeg.edf	2023-06-05T13:18:49	4.7
eeg/sub-15_ses-04_task-sepRate_run-03_eeg.edf	2023-06-05T13:22:28	8.7
eeg/sub-15_ses-04_task-sepRate_run-04_eeg.edf	2023-06-05T13:27:48	12.7
eeg/sub-15_ses-04_task-sepRate_run-05_eeg.edf	2023-06-05T13:34:17	16.7
eeg/sub-15_ses-04_task-sepRate_run-06_eeg.edf	2023-06-05T13:41:45	20.7
eeg/sub-15_ses-04_task-sepRate_run-07_eeg.edf	2023-06-05T13:50:29	24.7
eeg/sub-15_ses-04_task-sepRate_run-08_eeg.edf	2023-06-05T14:00:22	28.7
