filename	acq_time	stimRate
eeg/sub-12_ses-04_task-sepRate_run-01_eeg.edf	2021-10-11T13:30:22	2.7
eeg/sub-12_ses-04_task-sepRate_run-02_eeg.edf	2021-10-11T13:32:26	4.7
eeg/sub-12_ses-04_task-sepRate_run-03_eeg.edf	2021-10-11T13:35:53	8.7
eeg/sub-12_ses-04_task-sepRate_run-04_eeg.edf	2021-10-11T13:40:53	12.7
eeg/sub-12_ses-04_task-sepRate_run-05_eeg.edf	2021-10-11T13:46:59	16.7
eeg/sub-12_ses-04_task-sepRate_run-06_eeg.edf	2021-10-11T13:54:03	20.7
eeg/sub-12_ses-04_task-sepRate_run-07_eeg.edf	2021-10-11T14:02:21	24.7
eeg/sub-12_ses-04_task-sepRate_run-08_eeg.edf	2021-10-11T14:11:46	28.7
