filename	acq_time	stimRate
eeg/sub-18_ses-03_task-sepRate_run-01_eeg.edf	2023-10-23T11:21:12	2.7
eeg/sub-18_ses-03_task-sepRate_run-02_eeg.edf	2023-10-23T11:23:29	4.7
eeg/sub-18_ses-03_task-sepRate_run-03_eeg.edf	2023-10-23T11:27:14	8.7
eeg/sub-18_ses-03_task-sepRate_run-04_eeg.edf	2023-10-23T11:32:34	12.7
eeg/sub-18_ses-03_task-sepRate_run-05_eeg.edf	2023-10-23T11:39:01	16.7
eeg/sub-18_ses-03_task-sepRate_run-06_eeg.edf	2023-10-23T11:46:23	20.7
eeg/sub-18_ses-03_task-sepRate_run-07_eeg.edf	2023-10-23T11:55:09	24.7
eeg/sub-18_ses-03_task-sepRate_run-08_eeg.edf	2023-10-23T12:04:56	28.7
