filename	acq_time	stimRate
eeg/sub-06_ses-03_task-sepRate_run-01_eeg.edf	2021-09-24T11:32:23	2.7
eeg/sub-06_ses-03_task-sepRate_run-02_eeg.edf	2021-09-24T11:34:29	4.7
eeg/sub-06_ses-03_task-sepRate_run-03_eeg.edf	2021-09-24T11:38:03	8.7
eeg/sub-06_ses-03_task-sepRate_run-04_eeg.edf	2021-09-24T11:43:33	12.7
eeg/sub-06_ses-03_task-sepRate_run-05_eeg.edf	2021-09-24T11:50:11	16.7
eeg/sub-06_ses-03_task-sepRate_run-06_eeg.edf	2021-09-24T11:57:49	20.7
eeg/sub-06_ses-03_task-sepRate_run-07_eeg.edf	2021-09-24T12:06:45	24.7
eeg/sub-06_ses-03_task-sepRate_run-08_eeg.edf	2021-09-24T12:16:57	28.7
