filename	acq_time	stimRate
eeg/sub-12_ses-03_task-sepRate_run-01_eeg.edf	2021-10-11T13:30:22	2.7
eeg/sub-12_ses-03_task-sepRate_run-02_eeg.edf	2021-10-11T13:32:25	4.7
eeg/sub-12_ses-03_task-sepRate_run-03_eeg.edf	2021-10-11T13:36:09	8.7
eeg/sub-12_ses-03_task-sepRate_run-04_eeg.edf	2021-10-11T13:41:27	12.7
eeg/sub-12_ses-03_task-sepRate_run-05_eeg.edf	2021-10-11T13:47:51	16.7
eeg/sub-12_ses-03_task-sepRate_run-06_eeg.edf	2021-10-11T13:55:10	20.7
eeg/sub-12_ses-03_task-sepRate_run-07_eeg.edf	2021-10-11T14:03:54	24.7
eeg/sub-12_ses-03_task-sepRate_run-08_eeg.edf	2021-10-11T14:13:43	28.7
