filename	acq_time	stimRate
eeg/sub-13_ses-03_task-sepRate_run-01_eeg.edf	2021-10-12T14:08:22	2.7
eeg/sub-13_ses-03_task-sepRate_run-02_eeg.edf	2021-10-12T14:10:27	4.7
eeg/sub-13_ses-03_task-sepRate_run-03_eeg.edf	2021-10-12T14:13:58	8.7
eeg/sub-13_ses-03_task-sepRate_run-04_eeg.edf	2021-10-12T14:18:59	12.7
eeg/sub-13_ses-03_task-sepRate_run-05_eeg.edf	2021-10-12T14:25:05	16.7
eeg/sub-13_ses-03_task-sepRate_run-06_eeg.edf	2021-10-12T14:32:07	20.7
eeg/sub-13_ses-03_task-sepRate_run-07_eeg.edf	2021-10-12T14:40:25	24.7
eeg/sub-13_ses-03_task-sepRate_run-08_eeg.edf	2021-10-12T14:49:50	28.7
