filename	acq_time	stimRate
eeg/sub-10_ses-04_task-sepRate_run-01_eeg.edf	2021-10-07T11:44:05	2.7
eeg/sub-10_ses-04_task-sepRate_run-02_eeg.edf	2021-10-07T11:46:08	4.7
eeg/sub-10_ses-04_task-sepRate_run-03_eeg.edf	2021-10-07T11:49:39	8.7
eeg/sub-10_ses-04_task-sepRate_run-04_eeg.edf	2021-10-07T11:55:10	12.7
eeg/sub-10_ses-04_task-sepRate_run-05_eeg.edf	2021-10-07T12:01:48	16.7
eeg/sub-10_ses-04_task-sepRate_run-06_eeg.edf	2021-10-07T12:09:20	20.7
eeg/sub-10_ses-04_task-sepRate_run-07_eeg.edf	2021-10-07T12:18:16	24.7
eeg/sub-10_ses-04_task-sepRate_run-08_eeg.edf	2021-10-07T12:28:20	28.7
