filename	acq_time	stimRate
eeg/sub-04_ses-04_task-sepRate_run-01_eeg.edf	2021-09-20T12:47:46	2.7
eeg/sub-04_ses-04_task-sepRate_run-02_eeg.edf	2021-09-20T12:50:33	4.7
eeg/sub-04_ses-04_task-sepRate_run-03_eeg.edf	2021-09-20T12:55:59	8.7
eeg/sub-04_ses-04_task-sepRate_run-04_eeg.edf	2021-09-20T13:03:03	12.7
eeg/sub-04_ses-04_task-sepRate_run-05_eeg.edf	2021-09-20T13:11:13	16.7
eeg/sub-04_ses-04_task-sepRate_run-06_eeg.edf	2021-09-20T13:20:18	20.7
eeg/sub-04_ses-04_task-sepRate_run-07_eeg.edf	2021-09-20T13:30:43	24.7
eeg/sub-04_ses-04_task-sepRate_run-08_eeg.edf	2021-09-20T13:42:13	28.7
