filename	acq_time	stimRate
eeg/sub-01_ses-04_task-sepRate_run-01_eeg.edf	2021-08-31T11:12:50	2.7
eeg/sub-01_ses-04_task-sepRate_run-02_eeg.edf	2021-08-31T11:15:01	4.7
eeg/sub-01_ses-04_task-sepRate_run-03_eeg.edf	2021-08-31T11:18:39	8.7
eeg/sub-01_ses-04_task-sepRate_run-04_eeg.edf	2021-08-31T11:23:50	12.7
eeg/sub-01_ses-04_task-sepRate_run-05_eeg.edf	2021-08-31T11:30:09	16.7
eeg/sub-01_ses-04_task-sepRate_run-06_eeg.edf	2021-08-31T11:37:38	20.7
eeg/sub-01_ses-04_task-sepRate_run-07_eeg.edf	2021-08-31T11:46:24	24.7
eeg/sub-01_ses-04_task-sepRate_run-08_eeg.edf	2021-08-31T11:56:19	28.7
